DocumentType,DocumentTitle,Abstract,Author,Editor,BookAuthors,PublicationName,Publisher,PublicationYear,PrintedPublicationYear,PublisherCity,Volume,Issue,StartPage,EndPage,BookTitle,BookSeriesTitle,Descriptors,PMID,ID,Correspondence,ISSN,ISBN,DOI
Comment/Reply,Radical cognitivism? Distinguishing behavior from thought.,"Comments on an article by Jan De Houwer et al. (see record 2017-15804-001). De Houwer et al. offer up what appears to be a simple recommendation for the field: that we should distinguish—and even separate—our descriptions of the phenomena that we investigate from our theoretical accounts of those phenomena. They characterize this as a distinction between functional explanation and cognitive explanation, respectively. And they maintain that more assiduous application of this distinction would be of value not only for basic research but also for applied research, the focus of this article. In this commentary, we consider several aspects of this proposal, including its emphasis on the stimulus-environment response level of description, the implications for the labeling of phenomena, the rationale for separating description from explanation, and the potential consequences for the application to basic research. On some of these, we find ourselves in agreement; on others, we respectfully disagree. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","MacLeod, Colin M.;Risko, Evan F.",,,,Elsevier Science,2017,,Netherlands,6,1,22,26,,,*Applied Psychology;  *Cognitive Psychology;  *Memory; Taxonomies,,2017-15804-004,"MacLeod, Colin M.: Department of Psychology, University of Waterloo, Waterloo, ON, Canada, N2L 3G1, cmacleod@uwaterloo.ca",2211-369X(Electronic);2211-3681(Print),,http://dx.doi.org/10.1016/j.jarmac.2016.11.001
Journal Article,Joint influence of visual and auditory words in the Stroop task.,"We conducted four Stroop color–word experiments to examine how multiple stimuli influence interference. Experiments 1a and 1b showed that interference was strong when the word and color were integrated, and that visual and auditory words made independent contributions to interference when these words had different meanings. Experiments 2 and 3 confirmed this pattern when the word information and color information were not integrated, and hence when overall interference was substantially less. Auditory and visual interference effects are comparable except when the visual distracter is integrated with the color, in which case interference is substantially enhanced. Overall, these results are interpreted as being most consistent with a joint influence account of interference as opposed to a capture account. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Francis, Wendy S.;MacLeod, Colin M.;Taylor, Randolph S.",,,,Springer,2017,,Germany,79,1,200,211,,,*Attention;  *Stroop Effect; Interference (Learning); Selective Attention,27743263,2016-50221-001,"Francis, Wendy S.: Department of Psychology, University of Texas at El Paso, 500 W. University Ave, El Paso, TX, US, 79968, wfrancis@utep.edu",1943-393X(Electronic);1943-3921(Print),,http://dx.doi.org/10.3758/s13414-016-1218-0
Comment/Reply,On the production of knowledge and the anthropology of tourism.,"Comments on an article by Noel B. Salazar (see record 2017-51720-011). The papers in this section ask us to consider whether “mainstream scholarship seems mostly unaware of ‘Other’ anthropologies of tourism”, and author thinks that the answer is an emphatic “yes!” I read the papers in this special section on the anthropologies of tourism with great interest. The author has long had interest in the topic, and have written both a book and several papers that consider others’ practices along with the authors's. But the question—or indeed the answer— actually warrants further thought. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Habib, Jasmin",,,,Wiley-Blackwell Publishing Ltd.,2017,,United Kingdom,119,4,741,744,,,*Anthropology;  *Social Issues; Tourism,,2017-51720-015,,1548-1433(Electronic);0002-7294(Print),,http://dx.doi.org/10.1111/aman.12958
Journal Article,Pausing at the intersections of tourism moralities and mobilities: Some neighborhood history and a traffic report.,"Recent turns to morality and mobility have enriched the knowledge produced and used within the field of tourism studies. In this Special Issue, contributing authors intentionally merge, or grapple with in parallel, the terrains of tourism moralities and tourism mobilities. Our collective task has been to examine and critique these intersections for conceptual, theoretical, methodological, and empirical insights that shift understanding toward what morality does or can do in relation to tourism mobilities (and vice versa). This introduction sets the stage for the five papers that follow. We summarize the moral and mobility turns, draw attention to epistemological contours and convergences within these analytical fields, and synthesize key insights from each paper to show the promise that tourism moralities and mobilities has for our field of study and practice. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Grimwood, Bryan S. R.;Caton, Kellee",,,,Sage Publications,2017,,US,17,1,3,16,,,*Tourism;  *Traveling; Ethics; Geographical Mobility; Morality,,2017-10406-001,"Grimwood, Bryan S. R.: Department of Recreation and Leisure Studies, University of Waterloo, 200 University Avenue, West Waterloo, ON, Canada, N2L 3G1, bgrimwood@uwaterloo.ca",1741-3206(Electronic);1468-7976(Print),,http://dx.doi.org/10.1177/1468797616685640
Journal Article,Digital-gaming trajectories and second language development.,"Recent research in digital game-based language learning has been encouraging, yet it would benefit from research methods that focus on the gaming processes and second language development (Larsen-Freeman, 2015) rather than learner/player reflection or individuals’ beliefs about the validity of gameplay. This has proven challenging as research methods which provide insight into the gameplay experiences and its many factors are needed. Having the gameplay experience occur extramurally is desirable, but makes the direct observation of the learners’ activities by a researcher difficult. For this reason, we suggest approaching digital game-based language learning through complex adaptive systems research (Larsen-Freeman & Cameron, 2008a) and employing Dörnyei’s (2014) retrodictive qualitative modeling to capture the complex synchronic and diachronic variability of the learners and their individual nonlinear gaming trajectories with requisite data density and over a considerable period of time. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Scholz, Kyle W.;Schulze, Mathias",,,,National Foreign Language Resource Center,2017,,US,21,1,100,120,,,*Computer Games;  *Foreign Language Education;  *Computer Assisted Language Learning; Digital Gaming,,2017-05790-006,,1094-3501(Electronic),,
Journal Article,"Recent progress in Alzheimer’s disease research, part 2: Genetics and epidemiology.","This is the second part of a three-part review series reviewing the most important advances in Alzheimer’s disease (AD) research since 2010. This review covers the latest research on genetics and epidemiology. Epidemiological and genetic studies are revealing important insights into the etiology of, and factors that contribute to AD, as well as areas of priority for research into mechanisms and interventions. The widespread adoption of genome wide association studies has provided compelling evidence of the genetic complexity of AD with genes associated with such diverse physiological function as immunity and lipid metabolism being implicated in AD pathogenesis. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Robinson, Morgan;Lee, Brenda Y.;Hane, Francis T.",,,,IOS Press,2017,,Netherlands,57,2,317,330,,,*Alzheimer's Disease;  *Epidemiology; Beta Amyloid,28211812,2017-33656-002,"Hane, Francis T.: Department of Biology, University of Waterloo, Oliver rd, Thunder Bay, Waterloo, ON, Canada, P7B 5E1, fthane@uwaterloo.ca",1875-8908(Electronic);1387-2877(Print),,http://dx.doi.org/10.3233/JAD-161149
Journal Article,Can politicians afford knowledge? Evidence as affordance in new governance oversight arrangements.,"How do politicians see constituencies? Various academics have furnished elected officials with effective evidence of activities on the assumption that “better” information inevitably leads to better decisions. I propose we consider official information as seeings. I discuss how constituencies are seen or made sense of in a municipal scrutiny committee meeting in England. Using the notion of “affordance,” I will discuss not only how official evidence affords a perspective but also how that perspective is not reflective of the full spectrum of evidence that decision-makers may rely on to perform effectively. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Watson, Patrick G.",,,,Sage Publications,2017,,US,49,7,990,1014,,,*Decision Making;  *Politics; Social Issues,,2017-36360-003,"Watson, Patrick G.: Department of Sociology and Legal Studies, University of Waterloo, 200 University Ave. W, Waterloo, ON, Canada, N2L 3G1, pwatson@uwaterloo.ca",1552-3039(Electronic);0095-3997(Print),,http://dx.doi.org/10.1177/0095399714548271
Journal Article,Talking to foreign fighters: Insights into the motivations for hijrah to Syria and Iraq.,"Little of the discussion of foreign fighters in Syria and Iraq is informed by primary data derived from talking with the foreign fighters. This article reports some initial findings from interviews with twenty foreign fighters in Syria. The findings are compared with three other recent studies of European foreign fighters, and aspiring fighters, based on some primary data. While those studies emphasize the role of low social and economic prospects in motivating the choice to go, this study found little evidence of such factors, and alternatively argues more attention should be given to existential concerns and the role of religiosity. Consideration is also given to the methodological challenges posed by using of terrorists' accounts of their motivations. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Dawson, Lorne L.;Amarasingam, Amarnath",,,,Taylor & Francis,2017,,United Kingdom,40,3,191,210,,,*Economics;  *Motivation; Terrorism,,2017-06063-002,"Dawson, Lorne L.: Department of Sociology and Legal Studies, University of Waterloo, Waterloo, ON, Canada, N2L 3G1, ldawson@uwaterloo.ca",1521-0731(Electronic);1057-610X(Print),,http://dx.doi.org/10.1080/1057610X.2016.1274216
Journal Article,It’s what’s on the inside that counts... Or is it? Virtue and the psychological criteria of modesty.,"Philosophers who have written on modesty have largely agreed that it is a virtue, and that it therefore has an important psychological component. Mere modest behavior, it is often argued, is actually false modesty if it is generated by the wrong kind of mental state. The philosophical debate about modesty has largely focused on the question of which kind of mental state—cognitive, motivational, or evaluative—best captures the virtue of modesty. We therefore conducted a series of experiments to see which philosophical account matches the folk concept of modesty. Surprisingly, we found that the folk concept is primarily behavioral. This leads us to argue that modesty may not be a virtue, but that if it is none of the extant philosophical accounts have properly explained why. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Weaver, Sara;Doucet, Mathieu;Turri, John",,,,Springer,2017,,Germany,8,3,653,669,,,*Philosophies;  *Psychology; Virtue,,2017-16959-001,"Weaver, Sara: slweaver6@gmail.com",1878-5166(Electronic);1878-5158(Print),,http://dx.doi.org/10.1007/s13164-017-0333-8
Journal,Exploring community cohesion in rural canada post-extreme weather: Planning ahead for unknown stresses.,"As social capital evolves, we need to better address how we assess it in terms of community connection and involvement. This research presents a longitudinal study of Goderich, Ontario’s post-tornado community connection and involvement in relation to the Capacities and Vulnerabilities Analysis (CVA) model’s social, physical, and motivational factors. We first address literature around rural communities, extreme stresses related to capacity and vulnerability, the window of opportunity, and current uses for the CVA model before continuing with a brief synopsis of the study community and our research methods of surveys and interviews. Our results highlight three key findings: (a) there was a reduction in perceptions of connection and satisfaction with rebuild from 2012 to 2016; (b) in 2016, employed individuals experience a stronger sense of connection to community; and (c) five years after the tornado, the more satisfaction with involvement the higher the sense of community connection. Concluding our discussion of these findings, we propose a modification to extend the CVA model’s usefulness to a wider range of situations. We argue a pre-emptive, motivationally focused CVA model can be a useful tool for rural communities in multi-level income locations to address their community’s capacities and vulnerabilities prior to an extreme stress and build their connection and involvement levels. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Laycock, Katherine E.;Caldwell, Wayne",,,Social Indicators Research,Springer,2017,,Germany,,,No Pagination Specified,No Pagination Specified,,,,,2017-32788-001,"Laycock, Katherine E.: University of Waterloo, 200 University Ave W., Waterloo, Canada, N2L 3G1, klaycock@uwaterloo.ca",1573-0921(Electronic);0303-8300(Print),,http://dx.doi.org/10.1007/s11205-017-1706-1
Journal Article,Introduction to thematic symposium on accounting professionalism.,"This article presents an introduction to the thematic symposium on accounting professionalism. The five papers and their discussant comments that follow are the product of the Symposium conducted by the Centre for Accounting Ethics, University of Waterloo, in Toronto, Canada, May 2015. The theme of both the Symposium and this collection of papers is accounting professionalism. The motivation for the Symposium was to increase insights and understanding of the key factors that shape accounting professionalism today. More specifically, the intent was to increase one's understanding of the factors that impact accounting professionalism and to explore how shifting notions of professionalism might impact the role of accounting in society and the delivery of accounting services. One underlying assumption shared by this collection of papers is that professionalism in accounting is evolving and responding to continual changes in the regulatory, social, and economic environment in which the profession operates. This collection of papers provides insight into professionalism as currently exercised by professional accountants in public practice and in industry. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Gunz, Sally;Thorne, Linda",,,,Springer,2017,,Germany,142,2,199,201,,,*Accountants;  *Business Organizations;  *Professionalism;  *Business Ethics; Professional Networking,,2017-21237-001,"Thorne, Linda: Schulich School of Business, York University, S342, 4700 Keele Street, Toronto, ON, Canada, M3J 1P3, lthorne@schulich.yorku.ca",1573-0697(Electronic);0167-4544(Print),,http://dx.doi.org/10.1007/s10551-016-3147-1
Journal Article,The culture of permadeath: Roguelikes and terror management theory.,"In this exploratory article, Rob Parker examines the function of permadeath in the roguelike subgenre of computer role-playing games (cRPGs) through the lens of Terror Management Theory (TMT). In doing so, he provides a broad history of the subgenre, with specific attention to providing a productive distinction between modern and traditional roguelikes that lies in how they handle permadeath. He suggests that this focus on permadeath is one of the primary motivating factors for the resilience of the roguelike community over time, and what the implications of those motivations might mean for other members of the gaming community. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Parker, Rob",,,,Intellect,2017,,United Kingdom,9,2,123,141,,,*Computer Games;  *Death and Dying;  *Terror Management Theory;  *Digital Gaming; Communities,,2018-17753-002,"Parker, Rob: Games Institute, University of Waterloo, 200 University Ave W, Waterloo, ON, Canada, N2L3G1",1757-1928(Electronic);1757-191X(Print),,http://dx.doi.org/10.1386/jgvw.9.2.123_1
