DOI,publisher,is-referenced-by-count,container-title,subject
10.1109/TWC.2016.2598748,Institute of Electrical and Electronics Engineers (IEEE),35,IEEE Transactions on Wireless Communications,
10.1016/j.jpowsour.2016.05.047,Elsevier BV,32,Journal of Power Sources,
10.1016/j.actamat.2015.09.026,Elsevier BV,33,Acta Materialia,
10.1038/srep26720,Springer Science and Business Media LLC,30,Scientific Reports,Multidisciplinary
10.1016/s2352-3026(16)00020-X,Elsevier BV,37,The Lancet Haematology,
10.1021/acs.analchem.5b04008,American Chemical Society (ACS),38,Analytical Chemistry,
10.3847/0004-6256/152/1/14,American Astronomical Society,43,The Astronomical Journal,Space and Planetary Science;Astronomy and Astrophysics
10.1016/j.reseneeco.2015.04.005,Elsevier BV,40,Resource and Energy Economics,
10.1016/j.jpowsour.2014.11.066,Elsevier BV,31,Journal of Power Sources,
10.1016/j.msea.2015.06.081,Elsevier BV,31,Materials Science and Engineering: A,
10.1016/j.memsci.2014.10.040,Elsevier BV,34,Journal of Membrane Science,
10.1039/c5ta07252b,Royal Society of Chemistry (RSC),37,Journal of Materials Chemistry A,
10.1016/j.jpowsour.2015.08.063,Elsevier BV,34,Journal of Power Sources,"Physical and Theoretical Chemistry;Renewable Energy, Sustainability and the Environment;Electrical and Electronic Engineering;Energy Engineering and Power Technology"
10.1109/TGRS.2014.2344714,Institute of Electrical and Electronics Engineers (IEEE),28,IEEE Transactions on Geoscience and Remote Sensing,
10.1103/PhysRevD.92.044015,American Physical Society (APS),23,Physical Review D,
10.1364/OE.23.033437,The Optical Society,28,Optics Express,
10.1016/j.watres.2014.11.008,Elsevier BV,27,Water Research,
10.1016/j.jamda.2015.02.007,Elsevier BV,37,Journal of the American Medical Directors Association,
10.1039/c5ta06108c,Royal Society of Chemistry (RSC),35,Journal of Materials Chemistry A,
10.1016/j.elecom.2015.08.001,Elsevier BV,35,Electrochemistry Communications,
10.1007/s11468-014-9870-5,Springer Science and Business Media LLC,31,Plasmonics,Biotechnology;Biophysics;Biochemistry
10.1016/j.insmatheco.2014.01.009,Elsevier BV,21,Insurance: Mathematics and Economics,"Statistics, Probability and Uncertainty;Economics and Econometrics;Statistics and Probability"
10.1021/am5032067,American Chemical Society (ACS),29,ACS Applied Materials & Interfaces,
10.1021/bm500296n,American Chemical Society (ACS),36,Biomacromolecules,
10.1016/j.compfluid.2014.05.009,Elsevier BV,25,Computers & Fluids,
10.5942/jawwa.2014.106.0107,American Water Works Association,31,Journal - American Water Works Association,
10.1007/s10530-013-0547-3,Springer Science and Business Media LLC,31,Biological Invasions,"Ecology;Ecology, Evolution, Behavior and Systematics"
10.2147/IJN.S63395,Dove Medical Press Ltd.,2,International Journal of Nanomedicine,
10.1038/NPHOTON.2014.50,Springer Nature,37,Nature Photonics,"Atomic and Molecular Physics, and Optics;Electronic, Optical and Magnetic Materials"
10.1037/a0035391,American Psychological Association (APA),35,Journal of Personality and Social Psychology,
10.1109/TIT.2014.2353614,Institute of Electrical and Electronics Engineers (IEEE),24,IEEE Transactions on Information Theory,
10.1109/TSG.2014.2321709,Institute of Electrical and Electronics Engineers (IEEE),40,IEEE Transactions on Smart Grid,
10.1109/TWC.2013.013013.120940,Institute of Electrical and Electronics Engineers (IEEE),39,IEEE Transactions on Wireless Communications,
10.1109/JSAC.2013.SUP.0513056,Institute of Electrical and Electronics Engineers (IEEE),38,IEEE Journal on Selected Areas in Communications,
10.1371/journal.pone.0072522,Public Library of Science (PLoS),29,PLoS ONE,"General Biochemistry, Genetics and Molecular Biology;General Agricultural and Biological Sciences;General Medicine"
10.1177/0309324713477638,SAGE Publications,29,The Journal of Strain Analysis for Engineering Design,Mechanical Engineering;Modelling and Simulation;Mechanics of Materials;Applied Mathematics
10.1002/sec.519,Wiley,29,Security and Communication Networks,
10.1039/c2cc37266e,Royal Society of Chemistry (RSC),32,Chem. Commun.,"Materials Chemistry;Electronic, Optical and Magnetic Materials;General Chemistry;Surfaces, Coatings and Films;Metals and Alloys;Ceramics and Composites;Catalysis"
10.3390/nano3020221,MDPI AG,32,Nanomaterials,
10.1371/journal.pone.0071176,Public Library of Science (PLoS),36,PLoS ONE,
10.1051/0004-6361/201015444,EDP Sciences,28,Astronomy & Astrophysics,Space and Planetary Science;Astronomy and Astrophysics
10.1002/smll.201202710,Wiley,33,Small,Biotechnology;Engineering (miscellaneous);Biomaterials
10.1103/PhysRevB.87.134105,American Physical Society (APS),35,Physical Review B,
10.4064/sm215-2-6,"Institute of Mathematics, Polish Academy of Sciences",17,Studia Mathematica,
10.1021/cm302823f,American Chemical Society (ACS),32,Chemistry of Materials,
10.1039/c3nr04143c,Royal Society of Chemistry (RSC),27,Nanoscale,
10.1016/j.asoc.2012.05.031,Elsevier BV,28,Applied Soft Computing,Software
10.1109/TVT.2013.2258361,Institute of Electrical and Electronics Engineers (IEEE),39,IEEE Transactions on Vehicular Technology,
10.1007/s00125-013-2946-5,Springer Science and Business Media LLC,35,Diabetologia,"Internal Medicine;Endocrinology, Diabetes and Metabolism"
10.1016/j.apcatb.2017.11.077,Elsevier BV,36,Applied Catalysis B: Environmental,Process Chemistry and Technology;General Environmental Science;Catalysis
10.1093/ntr/ntw158,Oxford University Press (OUP),28,Nicotine & Tobacco Research,
10.1109/TDSC.2016.2577022,Institute of Electrical and Electronics Engineers (IEEE),16,IEEE Transactions on Dependable and Secure Computing,
10.1021/acsami.6b12080,American Chemical Society (ACS),32,ACS Applied Materials & Interfaces,
10.1002/adma.201702526,Wiley,50,Advanced Materials,
10.1016/j.bios.2016.08.033,Elsevier BV,34,Biosensors and Bioelectronics,
10.1109/MCOM.2017.1700322,Institute of Electrical and Electronics Engineers (IEEE),40,IEEE Communications Magazine,
10.1016/j.nanoen.2017.07.032,Elsevier BV,36,Nano Energy,
10.1103/PhysRevA.93.032140,American Physical Society (APS),10,Physical Review A,
10.1088/1475-7516/2016/08/013,IOP Publishing,28,Journal of Cosmology and Astroparticle Physics,
10.1016/j.comnet.2016.05.013,Elsevier BV,30,Computer Networks,
10.3847/0004-637X/820/2/137,American Astronomical Society,36,The Astrophysical Journal,Space and Planetary Science;Astronomy and Astrophysics
10.2215/CJN.08080715,American Society of Nephrology (ASN),39,Clinical Journal of the American Society of Nephrology,Critical Care and Intensive Care Medicine;Epidemiology;Nephrology;Transplantation
10.1038/NNANO.2016.237,Springer Nature,40,Nature Nanotechnology,"Electrical and Electronic Engineering;General Materials Science;Atomic and Molecular Physics, and Optics;Bioengineering;Condensed Matter Physics;Biomedical Engineering"
10.1016/j.tourman.2014.06.021,Elsevier BV,32,Tourism Management,
10.1021/acs.iecr.5b01398,American Chemical Society (ACS),35,Industrial & Engineering Chemistry Research,
10.1103/PhysRevB.92.035118,American Physical Society (APS),33,Physical Review B,
10.1021/jacs.5b06642,American Chemical Society (ACS),31,Journal of the American Chemical Society,
10.1016/j.febslet.2014.12.018,Wiley,41,FEBS Letters,
10.1109/TIE.2014.2375275,Institute of Electrical and Electronics Engineers (IEEE),17,IEEE Transactions on Industrial Electronics,
10.1016/j.ypmed.2015.08.019,Elsevier BV,27,Preventive Medicine,
10.1103/PhysRevLett.114.090402,American Physical Society (APS),32,Physical Review Letters,
10.1109/TNSM.2015.2459073,Institute of Electrical and Electronics Engineers (IEEE),28,IEEE Transactions on Network and Service Management,
10.14778/2777598.2777604,VLDB Endowment,42,Proceedings of the VLDB Endowment,
10.1016/j.molcata.2015.07.016,Elsevier BV,32,Journal of Molecular Catalysis A: Chemical,
10.1088/0004-637X/814/1/3,IOP Publishing,34,The Astrophysical Journal,
10.1002/cjce.22283,Wiley,33,The Canadian Journal of Chemical Engineering,
10.1080/1369183X.2013.830504,Informa UK Limited,37,Journal of Ethnic and Migration Studies,Arts and Humanities (miscellaneous);Demography
