Title,GBP,USD
Journal of International Education in Business,2000,2650
Journal of International Trade Law and Policy,2000,2650
Journal of Investment Compliance,1750,2350
Journal of Islamic Accounting and Business Research,2000,2650
Journal of Islamic Marketing,2000,2650
Journal of Knowledge Management,2250,2950
Journal of Korea Trade,2250,2950
Journal of Management Development,2000,2650
Journal of Management History,2000,2650
Journal of Managerial Psychology,2250,2950
Journal of Manufacturing Technology Management,2250,2950
Journal of Modelling in Management,2000,2650
Journal of Money Laundering Control,1750,2350
Journal of Organizational Change Management,2250,2950
Journal of Organizational Effectiveness: People and Performance,1750,2350
Journal of Organizational Ethnography,2000,2650
Journal of Participation and Employee Ownership,1750,2350
Journal of Place Management and Development,2000,2650
Journal of Product & Brand Management,2250,2950
Journal of Professional Capital and Community,1750,2350
Journal of Property Investment & Finance,2000,2650
"Journal of Property, Planning and Environmental Law prev. International Journal of Law in the Built Environment",1750,2350
"Journal of Public Budgeting, Accounting & Financial Management",2000,2650
Journal of Public Mental Health,2000,2650
Journal of Public Procurement,2000,2650
Journal of Quality in Maintenance Engineering,2000,2650
Journal of Research in Innovative Teaching & Learning,0,0
Journal of Research in Interactive Marketing,2000,2650
Journal of Research in Marketing and Entrepreneurship,2000,2650
Journal of Risk Finance,2000,2650
Journal of Science and Technology Policy Management,2000,2650
Journal of Service Management,2250,2950
Journal of Service Theory and Practice,2250,2950
Journal of Services Marketing,2250,2950
Journal of Small Business and Enterprise Development,2000,2650
Journal of Social Marketing,2250,2950
Journal of Strategy and Management,2000,2650
Journal of Structural Fire Engineering,2000,2650
Journal of Systems and Information Technology,2000,2650
Journal of Tourism Analysis: Revista de Análisis Turístico,0,0
Journal of Tourism Futures,0,0
Journal of Work-Applied Management,0,0
Journal of Workplace Learning,2000,2650
Kybernetes,2250,2950
Leadership & Organization Development Journal,2250,2950
Leadership in Health Services,2000,2650
Library Hi Tech,2250,2950
Library Hi Tech News,2000,2650
Library Management,2000,2650
Management Decision,2250,2950
Management of Environmental Quality,2000,2650
Management Research Review,2000,2650
Management Research: Journal of the Iberoamerican Academy of Management,2000,2650
Managerial Auditing Journal,2250,2950
Managerial Finance,2000,2650
Marine Economics and Management,0,0
Maritime Business Review,0,0
Marketing Intelligence & Planning,2250,2950
Measuring Business Excellence,2000,2650
Meditari Accountancy Research,2000,2650
Mental Health and Social Inclusion,2000,2650
Mental Health Review Journal,2000,2650
Microelectronics International,2250,2950
Multidiscipline Modeling in Materials and Structures,2000,2650
Multinational Business Review,2000,2650
Nankai Business Review International,2000,2650
New England Journal of Entrepreneurship,0,0
Nutrition & Food Science,2000,2650
On the Horizon,2000,2650
Online Information Review,2250,2950
Pacific Accounting Review,2000,2650
Performance Measurement and Metrics,2000,2650
Personnel Review,2250,2950
Pigment & Resin Technology,2250,2950
Policing: An International Journal,2250,2950
Property Management,2000,2650
PSU Research Review,0,0
Qualitative Market Research,2000,2650
Qualitative Research in Accounting & Management,2000,2650
Qualitative Research in Financial Markets,2000,2650
Qualitative Research in Organizations and Management,2000,2650
Qualitative Research Journal,2000,2650
Quality Assurance in Education,2000,2650
Quality in Ageing and Older Adults,2000,2650
Rapid Prototyping Journal,2250,2950
RAUSP Management Journal,0,0
Records Management Journal,2000,2650
Reference Reviews,1750,2350
Reference Services Review,2000,2650
Research Journal of Textile and Apparel,1750,2350
Review of Accounting and Finance,2000,2650
Review of Behavioural Finance,2000,2650
Review of International Business and Strategy,2000,2650
Revista de Gestão,0,0
Safer Communities,2000,2650
Sensor Review,2250,2950
Smart and Sustainable Built Environment,2000,2650
Social Enterprise Journal,1750,2350
Social Responsibility Journal,2000,2650
Social Studies Research and Practice,1750,2350
Social Transformations in Chinese Societies,1750,2350
Society and Business Review,1750,2350
Soldering & Surface Mount Technology,2250,2950
South Asian Journal of Business Studies,1750,2350
Spanish Journal of Marketing - ESIC,0,0
"Sport, Business and Management",2000,2650
Strategic Direction,2000,2650
Strategic HR Review,1750,2350
Strategy & Leadership,2000,2650
Studies in Economics and Finance,2000,2650
Studies in Graduate and Postdoctoral Education,1750,2350
Supply Chain Management,2250,2950
"Sustainability Accounting, Management and Policy Journal",2250,2950
Team Performance Management,2000,2650
The Bottom Line,2000,2650
The CASE Journal,1750,2350
The Electronic Library,2250,2950
The International Journal of Logistics Management,2250,2950
The Journal of Adult Protection,2000,2650
The Journal of Forensic Practice,2000,2650
"The Journal of Mental Health Training, Education and Practice",2000,2650
The Learning Organization,2000,2650
The TQM Journal,2000,2650
Therapeutic Communities,2000,2650
Tizard Learning Disability Review,2000,2650
Tourism Review,2000,2650
"Transforming Government: People, Process and Policy",2000,2650
VINE Journal of Information and Knowledge Management Systems,2000,2650
Working with Older People,2000,2650
World Journal of Engineering,2000,2650
"World Journal of Entrepreneurship, Management and Sustainable Development",1750,2350
"World Journal of Science, Technology and Sustainable Development",1750,2350
Worldwide Hospitality and Tourism Themes,2000,2650
Young Consumers,2000,2650
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,2000,2650
