Title,USD
Journal of Integrated Pest Management,819
Journal of International Economic Law,3310
Journal of Islamic Studies,3360
Journal of Language Evolution,2646
Journal of Legal Analysis,0
Journal of Mammalogy,1737
Journal of Medical Entomology,2894
Journal of Molecular Cell Biology,2040
Journal of Neuropathology & Experimental Neurology,3150
Journal of Pediatric Psychology,3360
Journal of Plant Ecology,3040
Journal of Professions and Organization,1874
Journal of Public Administration Research and Theory,2800
Journal of Public Health,2812
Journal of Radiation Research,1600
Journal of Refugee Studies,3308
Journal of Semantics,3749
Journal of Semitic Studies,3087
Journal of Surgical Case Reports,551
Journal of Survey Statistics and Methodology,2940
Journal of the American Medical Informatics Association,3360
Journal of the Canadian Association of Gastroenterology,1500
Journal of the European Economic Association,3790
Journal of the History of Medicine and Allied Sciences,3308
Journal of Travel Medicine,2940
Journal of Tropical Pediatrics,2371
Journal of Urban Ecology,0
Journal of Victorian Culture,3049
Laboratory Medicine,2600
Literature and Theology,3087
London Review of International Law,3310
Mammalian Species,1737
Medical Law Review,3310
Medical Mycology,3150
MHR: Basic science of reproductive medicine,3150
Microscopy,3000
Migration Studies,3480
Military Medicine,3150
Modern Judaism - A Journal of Jewish Ideas and Experience,1600
Molecular Biology and Evolution,2500
Molecular Plant,3303
Music and Letters,3360
Mutagenesis,3087
NAR Genomics and Bioinformatics,2080
Nephrology Dialysis Transplantation,3308
Neuro-Oncology,3150
Neuro-Oncology Practice,3150
Neuroscience of Consciousness,1848
Notes and Queries,1764
Nucleic Acids Research,2909
Occupational Medicine,3150
Oxford Economic Papers,4480
Oxford Journal of Legal Studies,3308
Oxford Medical Case Reports,607
Oxford Review of Economic Policy,4300
Paediatrics & Child Health,3150
Pain Medicine,3150
Parliamentary Affairs,3622
Past & Present,3371
Pathogens and Disease,2996
Perspectives on Public Management and Governance,2800
Physical Therapy,3000
Plant and Cell Physiology,3000
Policing: A Journal of Policy and Practice,3308
Political Analysis,3087
Poultry Science,2000
Precision Clinical Medicine,0
Proceedings of the Aristotelian Society,3245
"Protein Engineering, Design and Selection",3150
Public Health Ethics,2800
Public Opinion Quarterly,2940
Public Policy & Aging Report,3308
Publius: The Journal of Federalism,2940
QJM: An International Journal of Medicine,3150
Refugee Survey Quarterly,3308
Research Evaluation,2812
Review of Environmental Economics and Policy,3308
Review of Finance,4100
Rheumatology,3308
Rheumatology Advances in Practice,2400
Schizophrenia Bulletin,3150
Science and Public Policy,3308
Screen,3150
SLEEP,3090
Social Cognitive and Affective Neuroscience,1575
Social Forces,3087
Social History of Medicine,3146
Social Problems,2940
Social Science Japan Journal,3000
Socio-Economic Review,3087
Statute Law Review,3310
Synthetic Biology,2520
Systematic Biology,1800
The American Journal of Clinical Nutrition,3000
The American Journal of Jurisprudence,3308
The British Journal for the Philosophy of Science,3560
The British Journal of Aesthetics,3087
The British Journal of Criminology,4350
The British Journal of Social Work,3600
The Cambridge Quarterly,3087
The Chinese Journal of Comparative Law,3040
The Chinese Journal of International Politics,3040
The Computer Journal,3150
The Econometrics Journal,3200
The Economic Journal,3200
The English Historical Review,3308
The Gerontologist,3308
The Journal of Applied Poultry Research,2000
The Journal of Biochemistry,3000
The Journal of Deaf Studies and Deaf Education,3308
The Journal of Hindu Studies,2800
The Journal of Medicine and Philosophy: A Forum for Bioethics and Philosophy of Medicine,2800
The Journal of Nutrition,3000
The Journal of Theological Studies,3360
The Journal of World Energy Law & Business,3308
The Journals of Gerontology: Series A,3308
The Journals of Gerontology: Series B,3308
The Leo Baeck Institute Year Book,3087
The Library,3150
The Monist,3240
The Musical Quarterly,3360
The Opera Quarterly,3360
The Philosophical Quarterly,3360
The Quarterly Journal of Economics,3308
The Review of Asset Pricing Studies,2940
The Review of Corporate Finance Studies,2940
The Review of Economic Studies,5650
The Review of English Studies,3607
The Review of Financial Studies,2940
The World Bank Economic Review,2800
The World Bank Research Observer,2800
Toxicological Sciences,3150
Transactions of Mathematics and Its Applications,0
Transactions of The Royal Society of Tropical Medicine and Hygiene,3150
Translational Animal Science,2310
Translational Behavioral Medicine,2100
Transportation Safety and Environment,1000
Tree Physiology,3213
Trusts & Trustees,3308
Twentieth Century British History,3308
Virus Evolution,2184
"Work, Aging and Retirement",3000
Yearbook of International Environmental Law,3310
Zoological Journal of the Linnean Society,2940
