Title,USD
American Journal of Medical Genetics Part B:Neuropsychiatric Genetics,3000
American Journal of Medical Genetics Part C:Seminars in Medical Genetics,3000
American Journal of Physical Anthropology,4200
American Journal of Political Science,3300
American Journal of Primatology,3700
American Journal of Reproductive Immunology,3600
American Journal of Transplantation,4300
Anaesthesia,3000
Anaesthesia Reports,1000
Analyses of Social Issues and Public Policy,3000
Analytic Philosophy,2500
"Anatomia, Histologia, Embryologia",2900
Anatomical Sciences Education,3000
Andrologia,3300
Andrology,3000
Angewandte Chemie,5000
Angewandte Chemie International Edition,5000
Animal Conservation,3600
Animal Genetics,3000
Animal Models and Experimental Medicine,0
Animal Science Journal,4000
Annalen der Physik,3800
Annals of Anthropological Practice,3000
Annals of Applied Biology,3000
Annals of Clinical and Translational Neurology,3000
Annals of Gastroenterological Surgery,1850
Annals of Human Genetics,2900
Annals of Neurology,3000
Annals of Noninvasive Electrocardiology,3100
Annals of Public and Cooperative Economics,2500
Annals of the New York Academy of Sciences,3900
Anthropology & Education Quarterly,3000
Anthropology and Humanism,3000
Anthropology of Consciousness,3000
Anthropology of Work Review,3000
Anthropology Today,3000
Antipode,3000
ANZ Journal of Surgery,3100
AORN Journal,3000
APMIS,3000
Applications in Plant Sciences,1400
Applied Cognitive Psychology,2500
Applied Organometallic Chemistry,2500
Applied Psychology,3000
Applied Psychology: Health and Well-Being,3000
Applied Stochastic Models in Business and Industry,3000
Applied Vegetation Science,3800
Aquaculture Nutrition,3500
Aquaculture Research,3800
Aquatic Conservation: Marine and Freshwater Ecosystems,3700
Arabian Archaeology and Epigraphy,2500
Archaeological Prospection,2700
Archaeology in Oceania,2500
Archaeometry,2600
Archeological Papers of the American Anthropological Association,3000
Archiv der Pharmazie,3000
Archives of Insect Biochemistry and Physiology,2500
Area,3000
Art History,3550
Arthritis & Rheumatology,4500
Arthritis Care & Research,4400
Artificial Organs,3400
Asia & The Pacific Policy Studies,0
Asia Pacific Journal of Human Resources,2500
Asia Pacific Viewpoint,2500
Asian Economic Journal,2500
Asian Economic Policy Review,2500
Asian Journal of Control,2500
Asian Journal of Endoscopic Surgery,2500
Asian Journal of Organic Chemistry,3500
Asian Journal of Social Psychology,2500
Asian Politics and Policy,2500
Asian Social Work and Policy Review,2500
Asian-Pacific Economic Literature,2500
Asia-Pacific Journal of Chemical Engineering,2500
Asia-Pacific Journal of Clinical Oncology,3200
Asia-Pacific Journal of Financial Studies,2500
Asia-Pacific Psychiatry,2700
Astronomische Nachrichten,3000
Atmospheric Science Letters,1500
Austral Ecology,3100
Austral Entomology,2500
Australasian Journal of Dermatology,2900
Australasian Journal of Ultrasound in Medicine,2500
Australasian Journal on Ageing,2700
Australian & New Zealand Journal of Statistics,2700
Australian Accounting Review,2500
Australian and New Zealand Journal of Family Therapy,2500
Australian and New Zealand Journal of Obstetrics and Gynaecology,3300
Australian and New Zealand Journal of Public Health,0
Australian Dental Journal,2500
Australian Economic History Review,2500
Australian Economic Papers,2500
Australian Endodontic Journal,2500
Australian Journal of Grape and Wine Research,3700
Australian Journal of Politics and History,2500
Australian Journal of Psychology,2500
Australian Journal of Public Administration,2500
Australian Journal of Rural Health,2900
Australian Journal of Social Issues,3000
Australian Occupational Therapy Journal,3000
Australian Psychologist,2500
Australian Veterinary Journal,3100
Autism Research,3800
AWWA Water Science,3000
Basic & Clinical Pharmacology & Toxicology,3000
Basin Research,3600
Batteries & Supercaps,3500
Behavioral Interventions,2500
Behavioral Sciences & the Law,2500
Berichte zur Wissenschaftsgeschichte,3000
Biochemistry and Molecular Biology Education,3000
Bioelectromagnetics,3000
Bioengineering & Translational Medicine,1800
BioEssays,3800
Bioethics,3700
BioFactors,3000
"Biofuels, Bioproducts and Biorefining",4400
Biological Reviews,3000
Biology of the Cell,3000
Biomedical Chromatography,3300
Biometrical Journal,3600
Biometrics,3000
Biopharmaceutics & Drug Disposition,3300
Biopolymers,3400
Biotechnology and Applied Biochemistry,3000
Biotechnology and Bioengineering,4200
Biotechnology Journal,3800
Biotechnology Progress,3500
Biotropica,3000
Bipolar Disorders,3700
Birth,3000
Birth Defects Research,3200
BJOG: An International Journal of Obstetrics and Gynaecology,3900
BJS Open,2200
BJU International,3000
Boreas,3000
Brain and Behavior,2700
Brain Pathology,3000
British Educational Research Journal,3000
British Journal of Clinical Pharmacology,4000
British Journal of Clinical Psychology,2500
British Journal of Dermatology,3800
British Journal of Developmental Psychology,2500
British Journal of Education Psychology,2500
British Journal of Educational Technology,3000
British Journal of Haematology,3500
British Journal of Health Psychology,2500
British Journal of Industrial Relations,3100
British Journal of Learning Disabilities,2500
British Journal of Management,3000
British Journal of Mathematical and Statistical Psychology,2500
British Journal of Pharmacology,4000
British Journal of Psychology,2500
British Journal of Psychotherapy,3000
British Journal of Social Psychology,2500
British Journal of Special Education,2500
British Journal of Surgery,4300
Bulletin of Economic Research,2500
Bulletin of Latin American Research,2500
Bulletin of the Institute of Classical Studies,2500
Bulletin of the Korean Chemical Society,3000
Bulletin of the London Mathematical Society,3000
Business and Society Review,2500
Business Ethics: A European Review,3000
Business Strategy and Development,2750
Business Strategy and the Environment,3300
CA: A Cancer Journal for Clinicians,3600
Canadian Journal of Administrative SciencesRevue Canadienne des Sciences de l'Administration,2500
Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie,2500
Canadian Journal of Economics/Revue canadienne d'économique,2500
Canadian Public Administration/AdministrationPublique du Canada,2500
Canadian Review of Sociology/Revue canadienne de sociologie,2500
Cancer,4200
Cancer Cytopathology,2500
Cancer Medicine,2750
Cancer Reports,3000
Cancer Science,2250
Carbon Energy,0
Catheterization and Cardiovascular Interventions,3800
Cell Biochemistry & Function,2900
Cell Biology International,3200
Cell Proliferation,2150
Cellular Microbiology,3250
Centaurus,2500
Cereal Chemistry,2500
ChemBioChem,3500
ChemBioEng Reviews,3500
ChemCatChem,3500
ChemElectroChem,3500
Chemical Biology & Drug Design,3000
Chemical Engineering & Technology,3500
Chemie Ingenieur Technik,3500
Chemistry - A European Journal,4000
Chemistry - An Asian Journal,4000
Chemistry & Biodiversity,3500
ChemistryOpen,2200
ChemistrySelect,3500
ChemMedChem,3500
CHEMNANOMAT,3500
ChemPhotoChem,3000
ChemPhysChem,3500
ChemPlusChem,3500
ChemSusChem,3500
ChemSystemsChem,3500
Child & Family Social Work,3100
Child Abuse Review,2900
Child and Adolescent Mental Health,2600
Child Development,3300
Child Development Perspectives,3100
"Child: Care, Health and Development",3100
Children & Society,2800
China & World Economy,2500
Chinese Journal of Chemistry,3000
Chirality,3000
City & Community,3000
City & Society,3000
Civil Engineering Design,2800
Cladistics,3700
"CLEAN – Soil, Air, Water",3800
Clinical & Experimental Allergy,4200
Clinical & Experimental Immunology,3000
Clinical & Experimental Ophthalmology,2500
Clinical & Translational Immunology,2200
Clinical Advances in Periodontics,3000
Clinical Anatomy,3000
Clinical and Experimental Dental Research,2300
Clinical and Experimental Dermatology,3000
Clinical and Experimental Neuroimmunology,2500
Clinical and Experimental Optometry,2900
Clinical and Experimental Pharmacology and Physiology,3100
Clinical and Translational Science,3000
Clinical Cardiology,2250
Clinical Case Reports,1100
Clinical Endocrinology,4000
Clinical Genetics,3900
Clinical Implant Dentistry and Related Research,3800
Clinical Obesity,2600
Clinical Oral Implants Research,3800
Clinical Otolaryngology,4200
Clinical Pharmacology & Therapeutics,3000
Clinical Pharmacology in Drug Development,3000
Clinical Physiology and Functional Imaging,2900
Clinical Psychologist,2500
Clinical Psychology & Psychotherapy,3100
Clinical Psychology: Science and Practice,2900
Clinical Transplantation,3600
CNS Neuroscience & Therapeutics,2300
Cochrane Library,5000
Cognitive Science - A Multidisciplinary Journal,3100
Color Research and Application,3100
Coloration Technology,2500
Colorectal Disease,3000
Communications on Pure and Applied Mathematics,4000
Community Dentistry and Oral Epidemiology,3600
Computational and Mathematical Methods,3000
Computational Intelligence,2900
Computer Animation & Virtual Worlds,2700
Computer Applications In Engineering Education,3000
Computer Graphics Forum,3000
Computer-Aided Civil and Infrastructure Engineering,4000
Concurrency and Computation: Practice and Experience,3900
Conflict Resolution Quarterly,3000
Congenital Anomalies,2500
Congenital Heart Disease,3100
Conservation Biology,3000
Conservation Letters,1850
Constellations,2500
Consumer Psychology Review,3000
Contact Dermatitis,3800
Contemporary Accounting Research,2500
Contemporary Economic Policy,2500
Contributions to Plasma Physics,3300
Corporate Governance: An International Review,3300
Corporate Social Responsibility and EnvironmentalManagement,3000
Counseling and Values,2500
Counselling and Psychotherapy Research,2500
Counselor Education and Supervision,2500
CPT: Pharmacometrics & Systems Pharmacology,3000
Creativity and Innovation Management,2600
Criminal Behaviour and Mental Health,3000
Criminology,3300
Criminology and Public Policy,3100
Critical Quarterly,2500
CrossCurrents,2500
Crystal Research & Technology,3800
"Culture, Agriculture, Food and Environment",3000
Curator: The Museum Journal,2500
Current Protocols Essential Laboratory Techniques,4750
Current Protocols in Bioinformatics,4750
Current Protocols in Cell Biology,4750
Current Protocols in Chemical Biology,4750
Current Protocols in Cytometry,4750
Current Protocols in Human Genetics,4750
Current Protocols in Immunology,4750
Current Protocols in Microbiology,4750
Current Protocols in Molecular Biology,4750
Current Protocols in Mouse Biology,4750
Current Protocols in Neuroscience,4750
Current Protocols in Nucleic Acid Chemistry,4750
Current Protocols in Pharmacology,4750
Current Protocols in Plant Biology,4750
Current Protocols in Protein Science,4750
Current Protocols in Stem Cell Biology,4750
Current Protocols in Toxicology,4750
Curtis's Botanical Magazine,3000
Cytometry Part A,3000
Cytometry Part B: Clinical Cytometry,3000
Cytopathology,3400
Cytoskeleton,2900
Decision Sciences,2500
Decision Sciences Journal of Innovative Education,2500
Dental Traumatology,3300
Depression and Anxiety,3800
Dermatologic Therapy,3100
Dermatological Reviews,3000
Design Management Journal,2500
Design Management Review,2500
Developing World Bioethics,3300
Development and Change,3100
Development Policy Review,3000
"Development, Growth & Differentiation",3800
Developmental Dynamics,3000
Developmental Medicine & Child Neurology,4200
Developmental Neurobiology,3900
Developmental Psychobiology,3400
Developmental Science,3500
"Diabetes, Obesity and Metabolism",4500
Diabetes/Metabolism Research and Reviews,3400
Diabetic Medicine,4400
Diagnostic Cytopathology,2900
Dialectica,2500
Dialog,2500
Die Unterrichtspraxis/Teaching German,2500
Digest of Middle East Studies,2500
Digestive Endoscopy,3600
Disasters,2500
Diversity and Distributions,2200
Drug and Alcohol Review,3400
Drug Development Research,2900
Drug Testing and Analysis,4300
Dyslexia,3000
Early Intervention in Psychiatry,3600
Early Medieval Europe,2500
Earth and Space Science,1800
Earth Surface Processes and Landforms,4200
Earthquake Engineering & Structural Dynamics,3900
Earth's Future,1800
Echocardiography,2700
Ecography,2000
Ecohydrology,4000
Ecological Applications,3300
Ecological Entomology,3000
Ecological Management & Restoration,2500
Ecological Monographs,3300
Ecological Research,3000
Ecology,3300
Ecology and Evolution,1950
Ecology Letters,4500
Ecology of Freshwater Fish,3600
Economic Affairs,2500
Economic Anthropology,3000
Economic Inquiry,2900
Economic Notes,2500
Economic Papers,2500
Economic Record,2500
Economics & Politics,2500
Economics of Transition,2600
Ecosphere,1750
Educational Theory,2500
EFSA Journal,2400
Electrical Engineering in Japan,2500
Electroanalysis,3000
Electronics and Communications in Japan,2500
ELECTROPHORESIS,3500
EMBO Molecular Medicine,4200
EMBO Reports,5200
Emergency Medicine Australasia,3300
"Endocrinology, Diabetes & Metabolism",2000
Energy & Environmental Materials,0
Energy Science & Engineering,1900
Energy Storage,3000
Energy Technology,3800
Engineering in Life Sciences,3500
Engineering Reports,0
Entomologia Experimentalis et Applicata,3500
Entomological Research,2500
Entomological Science,3000
Environmental and Molecular Mutagenesis,3000
Environmental DNA,2100
Environmental Microbiology,4200
Environmental Microbiology Reports,3600
Environmental Policy and Governance,2900
Environmental Progress & Sustainable Energy,3500
Environmental Quality Management,3000
Environmental Toxicology,3900
Environmental Toxicology and Chemistry,3000
Environmetrics,3700
Epilepsia,3000
Epilepsia Open,2400
EPPO Bulletin,3000
Equine Veterinary Education,3000
Equine Veterinary Journal,3000
ESC Heart Failure,2700
Ethics & Human Research,3000
Ethology,3600
Ethos,3000
EuroChoices,3000
European Eating Disorders Review,3700
European Financial Management,2800
European Journal of Cancer Care,4300
European Journal of Clinical Investigation,3000
European Journal of Dental Education,3100
European Journal of Education,2600
European Journal of Haematology,3300
European Journal of Heart Failure,4300
European Journal of Immunology,3500
European Journal of Inorganic Chemistry,3500
European Journal of Lipid Science and Technology,3800
European Journal of Neurology,4100
European Journal of Neuroscience,3000
European Journal of Oral Sciences,2500
European Journal of Organic Chemistry,3500
European Journal of Pain,4000
European Journal of Personality,2500
European Journal of Philosophy,2500
European Journal of Political Research,3000
European Journal of Political Research Political Data Yearbook,3000
European Journal of Social Psychology,3000
European Journal of Soil Science,4000
European Law Journal,3000
European Management Review,2500
European Policy Analysis,3000
Evolution,3000
Evolution & Development,3300
Evolution Letters,2500
Evolutionary Anthropology,3800
Evolutionary Applications,2400
Experimental Dermatology,4100
Experimental Physiology,2950
Expert Systems,2500
Family & Consumer Sciences Research Journal,2500
Family Court Review,2500
Family Process,2500
Family Relations,2500
FASEB BioAdvances,2200
Fatigue & Fracture of Engineering Materials & Structures,3800
FEBS Letters,3000
FEBS Open Bio,1750
Feddes Repertorium,2500
Financial Accountability & Management,2500
Financial Management,2500
"Financial Markets, Institutions & Instruments",2500
Financial Planning Review,3000
Fire and Materials,2900
Fiscal Studies,2600
Fish and Fisheries,4300
Fisheries,3000
Fisheries Management and Ecology,3400
Fisheries Oceanography,4000
Flavour and Fragrance Journal,3600
Food and Energy Security,2600
Food Science & Nutrition,2200
Foreign Language Annals,3000
Forest Pathology,3500
Fortschritte der Physik,3000
Freshwater Biology,4300
Frontiers in Ecology and the Environment,2900
Fuel Cells,3300
Functional Ecology,3000
Fundamental & Clinical Pharmacology,2500
Futures & Foresight Science,3000
GAMM - Mitteilungen,2500
GastroHep,3300
GCB Bioenergy,2500
Gender & History,2500
"Gender, Work & Organisation",3200
General Anthropology,3000
Genes to Cells,3800
"Genes, Brain and Behavior",3000
"Genes, Chromosomes and Cancer",3600
Genesis: The Journal of Genetics and Development,3300
Genetic Epidemiology,3550
Genetics & Genomics Next,5000
Geo: Geography and Environment,1800
Geoarchaeology,2900
Geobiology,3700
"Geochemistry, Geophysics, Geosystems",3500
Geographical Analysis,3000
Geographical Research,2900
Geographical Review,2500
Geography Compass (Electronic),3000
GeoHealth,1800
Geological Journal,3500
Geophysical Prospecting,2500
Geophysical Research Letters,2500
Geoscience Data Journal,1500
Geostandards & Geoanalytical Research,3700
Geriatrics & Gerontology International,3000
German Economic Review,2500
German Life and Letters,2500
Gerodontology,3000
Glia,4200
Global Biogeochemical Cycles,3500
Global Business and Organizational Excellence,3000
Global Challenges,3500
Global Change Biology,4250
Global Ecology and Biogeography,3650
Global Networks,3000
Global Policy,2800
Global Strategy Journal,2500
Governance,3300
Grass and Forage Science,3000
Grassland Science,2500
Greenhouse Gases: Science and Technology,3000
Groundwater,3000
Groundwater Monitoring & Remediation,3000
Growth and Change,2500
Haemophilia,3650
Hastings Center Report,2500
Head & Neck,3650
Headache: The Journal of Head and Face Pain,3000
Health and Social Care in the Community,4200
Health Economics,3500
Health Expectations,2430
Health Information and Libraries Journal,2500
Health Promotion Journal of Australia,3000
Health Science Reports,2200
Health Services Research,3300
Heat Transfer - Asian Research,2500
Helicobacter,3000
Helvetica Chimica Acta,3500
Hematological Oncology,3500
Hemodialysis International,3100
Hepatology,2000
Hepatology Communications,2500
Hepatology Research,3100
High Frequency,3000
Higher Education Quarterly,2500
Hippocampus,4100
Histopathology,4100
Historical Research,2500
History,2500
History and Theory,2500
History Compass,2500
HIV Medicine,3000
HLA: Immune Response Genetics,3400
Human Behavior and Emerging Technologies,2500
Human Brain Mapping,4250
Human Factors and Ergonomics in Manufacturing & Service Industries,2500
Human Mutation,4000
Human Psychopharmacology: Clinical and Experimental,3500
Human Resource Development Quarterly,3000
Human Resource Management,3000
Human Resource Management Journal,3700
Hydrological Processes,4200
Hypatia,2500
Ibis,3000
IJU Case Reports,1000
"Immunity, Inflammation and Disease",2200
Immunological Reviews,4300
Immunology,3000
Immunology & Cell Biology,3000
Indoor Air,4300
Industrial Relations,3000
Industrial Relations Journal,2500
Infancy,3000
Infant and Child Development,2500
Infant Mental Health Journal,2500
Influenza and Other Respiratory Viruses,2700
Information Systems Journal,4000
Insect Conservation and Diversity,3000
Insect Molecular Biology,3000
Insect Science,3000
Integrated Environmental Assessment and Management,3000
Integrative Zoology,3600
"Intelligent Systems in Accounting, Finance and Management",2500
Internal Medicine Journal,2500
International Dental Journal,2900
International Economic Review,2500
International Endodontic Journal,3700
International Finance,2500
International Forum of Allergy & Rhinology,3000
International Insolvency Review,2500
International Journal for Numerical and Analytical Methods in Geomechanics,3800
International Journal for Numerical Methods in Biomedical Engineering,3800
International Journal for Numerical Methods in Engineering,4400
International Journal for Numerical Methods in Fluids,3700
International Journal of Adaptive Control and Signal Processing,3000
International Journal of Applied Ceramic Technology,3000
International Journal of Applied Glass Science,3000
International Journal of Applied Linguistics,2500
International Journal of Applied Psychoanalytic Studies,2500
International Journal of Art & Design Education,2500
International Journal of Auditing,2500
International Journal of Cancer,3900
International Journal of Chemical Kinetics,3100
International Journal of Circuit Theory & Applications,3500
International Journal of Climatology,3000
International Journal of Clinical Practice,4500
International Journal of Communication Systems,3000
International Journal of Consumer Studies,2500
International Journal of Cosmetic Science,2500
International Journal of Dairy Technology,3000
International Journal of Dental Hygiene,2900
International Journal of Dermatology,3100
International Journal of Eating Disorders,3700
International Journal of Energy Research,4000
International Journal of Experimental Pathology,3400
International Journal of Finance & Economics,2500
International Journal of Food Science & Technology,3300
International Journal of Geriatric Psychiatry,3550
International Journal of Gynecology &Obstetrics,3300
International Journal of Imaging Systems and Technology,2500
International Journal of Immunogenetics,2500
International Journal of Intelligent Systems,3000
International Journal of Japanese Sociology,2500
International Journal of Laboratory Hematology,3100
International Journal of Language & CommunicationDisorders,3100
International Journal of Management Reviews,3300
International Journal of Mental Health Nursing,3700
International Journal of Methods in Psychiatric Research,3000
International Journal of Nautical Archaeology,2500
International Journal of Network Management,3000
International Journal of Nonprofit and Voluntary Sector Marketing,2500
"International Journal of Numerical Modelling: Electronic Networks, Devices and Fields",2500
International Journal of Nursing Knowledge,2900
International Journal of Nursing Practice,3000
International Journal of Older People Nursing,2500
International Journal of Osteoarchaeology,3000
International Journal of Paediatric Dentistry,3400
International Journal of Pharmacy Practice,2500
International Journal of Psychology,2500
International Journal of Quantum Chemistry,3800
International Journal of RF and Microwave Computer-Aided Engineering,2500
International Journal of Rheumatic Diseases,3100
International Journal of Robust and Nonlinear Control,2500
International Journal of Satellite Communications and Networking,3500
International Journal of Selection and Assessment,2500
International Journal of Social Welfare,2600
International Journal of Systematic Theology,2500
International Journal of Tourism Research,2500
International Journal of Training and Development,2500
International Journal of Urban and Regional Research,3000
International Journal of Urological Nursing,2500
International Journal of Urology,3300
International Labour Review,2500
International Migration,2500
International Nursing Review,2500
International Review of Finance,2500
International Review of Hydrobiology,2500
International Review of Mission,2500
International Social Science Journal,2500
International Social Security Review,2500
International Statistical Review,3900
International Transactions in Operational Research,2800
International Transactions on Electrical Energy Systems,3000
International Wound Journal,4100
International Zoo Yearbook,3000
Internet Technology Letters,2340
Invertebrate Biology,3000
IPPR Progressive Review,3000
Irrigation and Drainage,2500
ISBT Science Series,2500
Island Arc,2500
Israel Journal of Chemistry,3600
IUBMB Life,3000
JACCP: Journal of the American College of Clinical Pharmacy,3000
Japan Architectural Review,1500
Japan Journal of Nursing Science,2500
JBMR Plus,2500
JCMS: Journal of Common Market Studies,3200
JGH Open,2000
JOR Spine,2250
Journal - American Water Works Association,3000
Journal der Deutschen Dermatologischen Gesellschaft,3000
Journal For Eighteenth-Century Studies,2500
Journal for Specialists In Pediatric Nursing,2900
Journal for the Anthropology of North America,3000
Journal for the Scientific Study of Religion,2500
Journal for the Theory of Social Behaviour,2500
Journal of Addictions & Offender Counseling,2500
Journal of Adolescent & Adult Literacy,2600
Journal of Advanced Manufacturing and Processing,3500
Journal of Advanced Nursing,4200
Journal of Advances in Modeling Earth Systems,1800
Journal of Agrarian Change,3000
Journal of Agricultural Economics,3000
Journal of Agronomy and Crop Science,3600
Journal of Analytical Psychology,3000
Journal of Anatomy,3000
Journal of Animal Breeding and Genetics,3700
Journal of Animal Ecology,3000
Journal of Animal Physiology and Animal Nutrition,3600
Journal of Applied Behavior Analysis,2500
Journal of Applied Biobehavioral Research,2500
Journal of Applied Clinical Medical Physics,600
Journal of Applied Corporate Finance,2500
Journal of Applied Crystallography,3400
Journal of Applied Ecology,3000
Journal of Applied Econometrics,3000
Journal of Applied Entomology,3000
Journal of Applied Ichthyology,2900
Journal of Applied Microbiology,3600
Journal of Applied Philosophy,2600
Journal of Applied Polymer Science,3600
Journal of Applied Research in Intellectual Disabilities,3200
Journal of Applied Social Psychology,2800
Journal of Applied Toxicology,3550
Journal of Aquatic Animal Health,3000
Journal of Arrhythmia,0
Journal of Avian Biology,2000
Journal of Basic Microbiology,2500
Journal of Behavioral Decision Making,3200
Journal of Biochemical and Molecular Toxicology,3500
Journal of Biogeography,4200
Journal of Biomedical Materials Research Part A,3750
Journal of Biomedical Materials Research Part B: Applied Biomaterials,2500
Journal of Biophotonics,4400
Journal of Bone and Mineral Research,3000
Journal of Business Finance & Accounting,2900
Journal of Business Logistics,2500
"Journal of Cachexia, Sarcopenia and Muscle",3250
Journal of Cardiac Surgery,2900
Journal of Cardiovascular Electrophysiology,3900
Journal of Cellular and Molecular Medicine,2800
Journal of Cellular Biochemistry,4000
Journal of Cellular Physiology,4500
Journal of Chemical Technology and Biotechnology,3800
Journal of Chemometrics,3900
Journal of Child and Adolescent Psychiatric Nursing,2500
Journal of Child Psychology and Psychiatry,3800
Journal of Chinese Philosophy,2500
Journal of Clinical Apheresis,3300
Journal of Clinical Laboratory Analysis,2000
Journal of Clinical Nursing,4000
Journal of Clinical Periodontology,4200
Journal of Clinical Pharmacology,3000
Journal of Clinical Pharmacy and Therapeutics,3100
Journal of Clinical Psychology,3000
Journal of Clinical Ultrasound,2900
Journal of College Counseling,2500
Journal of Combinatorial Designs,2500
Journal of Community & Applied Social Psychology,2800
Journal of Community Psychology,2800
Journal of Computational Chemistry,4300
Journal of Computer Assisted Learning,3200
Journal of Consumer Affairs,2500
Journal of Consumer Behaviour,2500
Journal of Consumer Psychology,3000
Journal of Contingencies and Crisis Management,2500
Journal of Corporate Accounting & Finance,3000
Journal of Cosmetic Dermatology,3200
Journal of Counseling & Development,2500
Journal of Cutaneous Immunology and Allergy,2800
Journal of Cutaneous Pathology,3100
Journal of Diabetes,3000
Journal of Diabetes Investigation,3500
Journal of Digestive Diseases,2900
Journal of Ecology,3000
Journal of Economic Surveys,3000
Journal of Economics & Management Strategy,2800
Journal of Empirical Legal Studies,2500
Journal of Employment Counseling,2500
Journal of Engineering Education,3000
Journal of Esthetic and Restorative Dentistry,3000
Journal of Eukaryotic Microbiology,3000
Journal of Evaluation in Clinical Practice,3800
Journal of Evidence-Based Medicine,2500
Journal of Evolutionary Biology,3000
Journal of Experimental Zoology Part A: Ecological Genetics and Physiology,3900
Journal of Experimental Zoology Part B Molecular and Developmental Evolution,3000
Journal of Family Theory & Review,2500
Journal of Family Therapy,2900
Journal of Field Ornithology,3000
Journal of Field Robotics,3900
Journal of Financial Research,3000
Journal of Fish Biology,3000
Journal of Fish Diseases,4200
Journal of Flood Risk Management,3600
Journal of Food Biochemistry,3000
Journal of Food Process Engineering,2500
Journal of Food Processing and Preservation,2900
Journal of Food Safety,3000
Journal of Food Science,3000
Journal of Forecasting,2500
Journal of Forensic Sciences,3000
Journal of Gastroenterology and Hepatology,4000
Journal of General and Family Medicine,2500
Journal of Genetic Counseling,3000
Journal of Geophysical Research: Atmospheres,3500
Journal of Geophysical Research: Biogeosciences,3500
Journal of Geophysical Research: Earth Surface,3500
Journal of Geophysical Research: Oceans,3500
Journal of Geophysical Research: Planets,3500
Journal of Geophysical Research: Solid Earth,3500
Journal of Geophysical Research: Space Physics,3500
Journal of Graph Theory,3000
Journal of Healthcare Risk Management,3000
Journal of Hepato-Biliary-Pancreatic Sciences,3600
Journal of Heterocyclic Chemistry,2500
Journal of Historical Sociology,2500
Journal of Human Nutrition and Dietetics,3400
Journal of Industrial Ecology,3000
Journal of Inherited Metabolic Disease,3000
Journal of Integrative Plant Biology,2500
Journal of Intellectual Disability Research,3300
Journal of Interdisciplinary Nanomedicine,2000
Journal of Interior Design,2500
Journal of Internal Medicine,4200
Journal of International Development,2700
Journal of International Financial Management & Accounting,2500
Journal of Investigative and Clinical Dentistry,2500
Journal of Investigative Psychology and Offender Profiling,2500
Journal of Labelled Compounds and Radiopharmaceuticals,3300
Journal of Labor and Society,2500
Journal of Law and Society,2500
Journal of Leadership Studies,3000
Journal of Legal Studies Education,2500
Journal of Leukocyte Biology,2500
Journal of Linguistic Anthropology,3000
Journal of Magnetic Resonance Imaging,3500
Journal of Management Studies,3300
Journal of Marital and Family Therapy,2500
Journal of Marriage and Family,3000
Journal of Mass Spectrometry,3700
Journal of Medical Imaging and Radiation Oncology,2700
Journal of Medical Primatology,2700
Journal of Medical Radiation Sciences,1900
Journal of Medical Virology,3400
Journal of Metamorphic Geology,3200
Journal of Microscopy,4300
Journal of Midwifery & Women's Health,3000
Journal of Molecular Recognition,3300
"Journal of Money, Credit and Banking",3000
Journal of Morphology,3000
Journal of Multi-Criteria Decision Analysis,2500
Journal of Multicultural Counseling and Development,2500
Journal of Neurochemistry,3000
Journal of Neuroendocrinology,3900
Journal of Neuroimaging,3100
Journal of Neuropsychology,2500
Journal of Neuroscience Research,3600
