publisher,price,lower,higher,per
Springer Verlag (Germany) - Computer Proceedings,3000,,,
Synergy Publishers,500,,,
Taylor & Francis,2950,,,
Taylor & Francis - SSH Journals,2950,,,
"Taylor & Francis - STM, Behavioural Science and Public Health Titles",2950,,,
Taylor & Francis (CRC Press),2950,,,
Taylor & Francis (Psychology Press),2950,,,
"Taylor & Francis (Psychology Press) - STM, Behavioural Science and Public Health Titles",2950,,,
Taylor & Francis (Routledge),2950,,,
Taylor & Francis (Routledge) - Library and Information Science,2950,,,
Taylor & Francis (Routledge) - SSH Titles,2950,,,
"Taylor & Francis (Routledge) - STM, Behavioural Science and Public Health Titles",2950,,,
Textrum,1595,,,
Thomas Land Publishers,2800,,,
Thomas Telford (ICE Publishing),1600,1400,1800,
Trans Tech Publications,276,,,
Universities Federation for Animal Welfare (UFAW),2340,,,
"University College London, Faculty of Mathematical and Physical Sciences, Department of Mathematics",2400,,,
University of Chicago Press,2650,1000,4300,
"University of Colorado at Boulder, Institute of Arctic and Alpine Research",500,,,
"University of Miami, Rosenstiel School of Marine and Atmospheric Science",1000,,,
University of the Basque Country Press (UBC Press),1649,,,
University of Toronto Press,3000,,,
University of Wales Press,2188,2037,2340,
University of Wisconsin Press,1500,,,
"Università di Bologna, Department of Agricultural Sciences",131,,,
Wageningen Academic Publishers,2500,,,
WB Saunders,2750,500,5000,
Weed Science Society of America,2250,2000,2500,
Westburn Publishers,2340,,,
White Horse Press,2340,,,
Wiley,3000,,,
Wiley - 12 months,3000,,,
Wiley - 18 months,3000,,,
Wiley - 24 months,3000,,,
Wiley - 6 months,3000,,,
Wiley - 9 months,3000,,,
Wiley - Biometrics,3000,,,
Wiley - FEBS Journal,3000,,,
Wiley - Pre-print Only,3000,,,
Wiley-VCH Verlag,3000,,,
WIT Press,98,,,per
World Scientific Publishing,1500,,,
